Satellite                     AOS           LOS     Duration  Peak AZ  Peak EL
AO-07        11/8/2024 6:22:13 AM    6:45:09 AM     00:22:56   287.2°    80.3°
IO-117       11/8/2024 7:07:25 AM    8:27:12 AM     01:19:47   286.5°    85.4°
CAS-4A       11/8/2024 7:19:01 AM    7:30:37 AM     00:11:36   141.0°    35.9°
RS-44        11/8/2024 8:45:22 AM    9:06:49 AM     00:21:27    80.1°    46.1°
AO-73        11/8/2024 3:24:54 PM    3:37:03 PM     00:12:09   262.0°    34.2°
IO-117       11/8/2024 3:41:04 PM    5:00:56 PM     01:19:52    60.5°    53.7°
AO-07        11/8/2024 5:13:58 PM    5:37:06 PM     00:23:08    81.4°    85.5°
XW-2B        11/8/2024 7:30:11 PM    7:38:51 PM     00:08:40    75.9°    45.5°
IO-117       11/8/2024 7:39:09 PM    8:49:07 PM     01:09:58   271.2°    36.6°
ISS          11/8/2024 8:05:55 PM    8:17:08 PM     00:11:13   129.6°    82.9°
RS-44        11/8/2024 9:17:24 PM    9:37:42 PM     00:20:18    90.2°    45.0°
AO-73        11/9/2024 3:10:55 AM    3:24:00 AM     00:13:05    99.7°    47.5°
ISS          11/9/2024 4:15:31 AM    4:26:36 AM     00:11:05    45.2°    66.2°
AO-07        11/9/2024 5:22:36 AM    5:44:43 AM     00:22:07   101.1°    41.0°
IO-117       11/9/2024 5:31:10 AM    6:46:46 AM     01:15:36    95.8°    56.1°
AO-07        11/9/2024 7:15:26 AM    7:36:54 AM     00:21:28   295.4°    36.4°
CAS-4A       11/9/2024 8:18:50 AM    8:30:30 AM     00:11:40   332.2°    35.4°
RS-44        11/9/2024 9:08:54 AM    9:30:59 AM     00:22:05    80.8°    77.1°
IO-117       11/9/2024 9:27:54 AM   10:46:15 AM     01:18:21   311.2°    37.9°
CAS-4A       11/9/2024 2:54:24 PM    3:06:06 PM     00:11:42   219.5°    42.3°
AO-07        11/9/2024 4:15:14 PM    4:36:43 PM     00:21:29    64.1°    35.2°
IO-117       11/9/2024 5:58:22 PM    7:16:22 PM     01:18:00   259.2°    71.2°
